2019 defa görüntülenmiş... asagısı onun devamı


--->  212.174.88.24 2018-03-27 08:34:25  Turkey  | | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 | | direct
--->  176.55.55.50 2018-03-27 08:37:58  Istanbul, Istanbul, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | direct
--->  176.55.55.50 2018-03-27 08:38:02  Istanbul, Istanbul, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/
--->  176.55.55.50 2018-03-27 08:40:00  Istanbul, Istanbul, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/sayac.txt
--->  176.55.55.50 2018-03-27 08:41:00  Istanbul, Istanbul, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/
--->  176.55.55.50 2018-03-27 08:41:06  Istanbul, Istanbul, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/sayac.txt
--->  176.55.55.50 2018-03-27 08:41:34  Istanbul, Istanbul, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/sayac.txt
--->  176.55.55.50 2018-03-27 08:42:00  Istanbul, Istanbul, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/sayac.txt
--->  176.55.55.50 2018-03-27 08:42:06  Istanbul, Istanbul, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/sayac.txt
--->  46.155.79.190 2018-03-27 08:43:30  Ankara, Ankara Province, Turkey  | | Mozilla/5.0 (Linux; Android 4.2.1; Discovery Build/JOP40D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36 | | direct
--->  46.155.79.190 2018-03-27 08:43:40  Ankara, Ankara Province, Turkey  | | Mozilla/5.0 (Linux; Android 4.2.1; Discovery Build/JOP40D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36 | | http://burakacma.com/
--->  46.155.79.190 2018-03-27 08:43:49  Ankara, Ankara Province, Turkey  | | Mozilla/5.0 (Linux; Android 4.2.1; Discovery Build/JOP40D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36 | | direct
--->  46.155.79.190 2018-03-27 08:43:52  Ankara, Ankara Province, Turkey  | | Mozilla/5.0 (Linux; Android 4.2.1; Discovery Build/JOP40D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36 | | http://burakacma.com/
--->  212.174.88.24 2018-03-27 11:15:04  Turkey  | | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36 | | direct
--->  212.174.88.24 2018-03-27 11:15:15  Turkey  | | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36 | | http://burakacma.com/
--->  212.174.88.24 2018-03-27 13:00:13  Turkey  | | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 | | direct
--->  212.174.88.24 2018-03-27 13:00:14  Turkey  | | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 | | direct
--->  176.54.11.104 2018-03-27 19:40:21  Ordu Province, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/sayac.txt
--->  176.54.11.104 2018-03-28 02:55:55  Ordu Province, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/sayac.txt
--->  176.54.11.104 2018-03-28 03:00:01  Ordu Province, Turkey  | | Mozilla/5.0 (Linux; Android 6.0.1; D6603 Build/23.5.A.1.291) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36 | | http://burakacma.com/sayac.txt
--->  193.90.12.119 2018-03-28 05:24:20  Oslo, Oslo, Norway  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | direct
--->  193.90.12.119 2018-03-28 05:24:23  Oslo, Oslo, Norway  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | http://burakacma.com/
--->  157.55.39.254 2018-03-28 07:03:00  Redmond, Washington, United States  | | Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) | | direct
--->  87.118.116.12 2018-03-28 08:55:23  Germany  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | direct
--->  87.118.116.12 2018-03-28 08:55:25  Germany  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | http://burakacma.com/
--->  144.217.245.23 2018-03-28 22:28:54  Beauharnois, Quebec, Canada  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | direct
--->  144.217.245.23 2018-03-28 22:28:56  Beauharnois, Quebec, Canada  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | http://burakacma.com/
--->  212.174.88.24 2018-03-29 08:37:19  Turkey  | | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 | | direct
--->  212.174.88.24 2018-03-29 08:38:20  Turkey  | | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 | | direct
--->  212.174.88.24 2018-03-29 08:38:21  Turkey  | | Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0 | | direct
--->  84.53.65.151 2018-03-29 08:48:32  Lijnden, North Holland, Netherlands  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | direct
--->  84.53.65.151 2018-03-29 08:48:35  Lijnden, North Holland, Netherlands  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | http://burakacma.com/
--->  149.202.170.60 2018-03-29 18:16:00  France  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | direct
--->  149.202.170.60 2018-03-29 18:16:02  France  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | http://burakacma.com/
--->  199.249.223.65 2018-03-29 20:37:16  United States  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | direct
--->  199.249.223.65 2018-03-29 20:37:19  United States  | | Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1 | | http://burakacma.com/
